episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
87,-44.499999999999986,100,False,True,False,0,"(6, 2)",False,False,False,False,False,False,False,False
88,-36.60000000000002,100,False,True,False,0,"(1, 3)",False,False,False,False,False,False,False,False
89,-32.80000000000002,100,False,True,False,0,"(1, 1)",True,False,False,False,False,False,False,False
90,-33.050000000000026,100,False,True,False,0,"(4, 3)",True,False,False,True,False,False,False,False
91,-27.850000000000016,100,False,True,False,0,"(3, 4)",False,False,True,False,False,False,False,False
92,-43.50000000000001,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
93,-30.95000000000003,100,False,True,False,0,"(1, 4)",False,False,False,False,False,False,False,False
94,-28.65000000000003,100,False,True,False,0,"(5, 6)",False,False,False,True,False,False,False,False
95,-31.200000000000024,100,False,True,False,0,"(1, 3)",True,False,False,True,False,False,False,False
96,-30.00000000000003,100,False,True,False,0,"(6, 2)",False,False,False,True,False,False,False,False
97,-37.00000000000002,100,False,True,False,0,"(1, 5)",False,False,False,False,False,False,False,False
98,-26.50000000000002,100,False,True,False,0,"(5, 3)",False,False,True,False,False,False,False,False
99,-28.750000000000014,100,False,True,False,0,"(1, 4)",True,False,False,False,False,False,False,False
100,-30.300000000000026,100,False,True,False,0,"(2, 4)",True,False,True,False,False,False,False,False
101,-28.500000000000025,100,False,True,False,0,"(2, 4)",True,True,False,False,False,False,False,False
102,-36.10000000000002,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
103,-32.55000000000001,100,False,True,False,0,"(1, 2)",True,True,False,False,False,False,False,False
104,-37.650000000000006,100,False,True,False,0,"(4, 3)",False,False,False,False,False,False,False,False
105,-26.70000000000003,100,False,True,False,0,"(4, 4)",True,False,False,True,False,False,False,False
106,-27.050000000000022,100,False,True,False,0,"(3, 4)",True,True,False,True,False,False,False,False
107,-33.25000000000002,100,False,True,False,0,"(3, 4)",True,False,False,False,False,False,False,False
108,-36.700000000000024,100,False,True,False,0,"(2, 6)",False,False,False,False,False,False,False,False
109,-30.550000000000022,100,False,True,False,0,"(1, 2)",True,False,False,False,False,False,False,False
110,-31.750000000000025,100,False,True,False,0,"(3, 2)",True,True,False,False,False,False,False,False
111,-36.850000000000016,100,False,True,False,0,"(5, 4)",False,False,False,True,False,False,False,False
112,-37.500000000000014,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
113,-31.650000000000023,100,False,True,False,0,"(5, 2)",False,False,False,False,False,False,False,False
114,-30.70000000000003,100,False,True,False,0,"(2, 6)",False,False,False,False,False,False,False,False
115,-34.60000000000002,100,False,True,False,0,"(6, 6)",False,False,False,False,False,False,False,False
116,-30.85000000000003,100,False,True,False,0,"(5, 6)",False,False,False,False,False,False,False,False
117,-39.500000000000014,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
118,-31.900000000000027,100,False,True,False,0,"(3, 5)",True,False,False,False,False,False,False,False
119,-37.55000000000001,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
120,-27.400000000000034,100,False,True,False,0,"(6, 4)",False,False,False,True,False,False,False,False
121,-32.50000000000003,100,False,True,False,0,"(6, 4)",False,False,False,False,False,False,False,False
122,-31.200000000000028,100,False,True,False,0,"(6, 2)",True,False,False,True,False,False,False,False
