episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
32,-26.95000000000002,100,False,True,False,0,"(4, 3)",True,True,True,False,False,False,False,False,0.8560822709551227
33,-28.950000000000017,100,False,True,False,0,"(1, 6)",True,False,True,False,False,False,False,False,0.851801859600347
34,-27.800000000000026,100,False,True,False,0,"(5, 5)",False,False,False,True,False,False,False,False,0.8475428503023453
35,-25.05000000000003,100,False,True,False,0,"(3, 6)",False,False,False,True,False,False,False,False,0.8433051360508336
36,-30.300000000000022,100,False,True,False,0,"(2, 6)",True,True,False,False,False,False,False,False,0.8390886103705794
37,-20.65000000000001,100,False,True,False,0,"(6, 5)",True,True,False,True,False,False,False,False,0.8348931673187264
38,-28.50000000000003,100,False,True,False,0,"(6, 4)",True,False,False,True,False,False,False,False,0.8307187014821328
39,-27.800000000000022,100,False,True,False,0,"(2, 4)",True,True,True,False,False,False,False,False,0.8265651079747222
40,-32.45000000000002,100,False,True,False,0,"(5, 4)",True,False,False,False,False,False,False,False,0.8224322824348486
41,-25.60000000000001,100,False,True,False,0,"(3, 1)",True,True,False,True,False,False,False,False,0.8183201210226743
42,-24.45000000000002,100,False,True,False,0,"(6, 3)",True,True,False,False,False,False,False,False,0.8142285204175609
43,-27.600000000000016,100,False,True,False,0,"(3, 1)",True,False,False,True,False,False,False,False,0.810157377815473
44,-28.250000000000025,100,False,True,False,0,"(3, 4)",False,False,True,False,False,False,False,False,0.8061065909263957
45,-23.300000000000008,100,False,True,False,0,"(1, 3)",True,True,True,False,False,False,False,False,0.8020760579717637
46,-22.600000000000023,100,False,True,False,0,"(4, 6)",True,True,True,True,False,False,False,False,0.798065677681905
47,-28.750000000000032,100,False,True,False,0,"(5, 4)",False,False,True,False,False,False,False,False,0.7940753492934954
48,-30.900000000000016,100,False,True,False,0,"(4, 4)",False,False,True,False,False,False,False,False,0.7901049725470279
49,-25.30000000000003,100,False,True,False,0,"(1, 5)",False,False,True,True,False,False,False,False,0.7861544476842928
50,-27.25000000000003,100,False,True,False,0,"(3, 6)",False,False,True,True,False,False,False,False,0.7822236754458713
51,-26.200000000000024,100,False,True,False,0,"(6, 2)",False,False,False,True,False,False,False,False,0.778312557068642
52,-19.300000000000015,100,False,True,False,0,"(3, 5)",True,False,True,True,False,False,False,False,0.7744209942832988
53,-19.250000000000007,100,False,True,False,0,"(2, 1)",True,True,False,True,False,False,False,False,0.7705488893118823
54,-22.85000000000002,100,False,True,False,0,"(5, 6)",False,False,False,True,False,False,False,False,0.7666961448653229
55,-22.600000000000012,100,False,True,False,0,"(5, 1)",True,True,True,True,False,False,False,False,0.7628626641409962
56,-26.35000000000002,100,False,True,False,0,"(6, 3)",False,False,True,True,False,False,False,False,0.7590483508202912
57,-27.50000000000003,100,False,True,False,0,"(5, 1)",True,True,True,False,False,False,False,False,0.7552531090661897
58,-21.500000000000018,100,False,True,False,0,"(3, 5)",True,True,False,True,False,False,False,False,0.7514768435208588
59,-22.500000000000007,100,False,True,False,0,"(6, 6)",True,True,True,False,False,False,False,False,0.7477194593032545
60,-19.45000000000002,100,False,True,False,0,"(4, 1)",True,True,True,True,False,False,False,False,0.7439808620067382
61,-20.85000000000001,100,False,True,False,0,"(3, 2)",True,True,True,True,False,False,False,False,0.7402609576967045
62,-22.20000000000001,100,False,True,False,0,"(1, 5)",True,True,False,False,False,False,False,False,0.736559652908221
63,-14.149999999999995,100,False,True,False,1,"(4, 1)",True,True,True,True,True,False,False,False,0.7328768546436799
64,-21.45000000000003,100,False,True,False,0,"(6, 1)",False,False,False,True,False,False,False,False,0.7292124703704616
65,-22.55000000000001,100,False,True,False,0,"(1, 4)",False,False,True,True,False,False,False,False,0.7255664080186093
66,-19.400000000000013,100,False,True,False,0,"(2, 4)",False,False,True,True,False,False,False,False,0.7219385759785162
67,-21.50000000000002,100,False,True,False,0,"(3, 5)",True,True,False,True,False,False,False,False,0.7183288830986236
68,-23.250000000000018,100,False,True,False,0,"(3, 6)",False,False,False,True,False,False,False,False,0.7147372386831305
69,-20.80000000000001,100,False,True,False,0,"(1, 5)",True,True,True,True,False,False,False,False,0.7111635524897149
70,-12.350000000000005,100,False,True,False,1,"(1, 2)",True,True,True,True,True,False,False,False,0.7076077347272662
71,-23.100000000000012,100,False,True,False,0,"(1, 3)",True,False,False,True,False,False,False,False,0.7040696960536299
72,-14.600000000000016,100,False,True,False,0,"(5, 5)",True,True,True,True,False,False,False,False,0.7005493475733617
73,-25.65000000000002,100,False,True,False,0,"(5, 4)",True,True,True,False,False,False,False,False,0.697046600835495
